ID,PASSWORD,NAME,EMAIL,ADDRESS,STATUS,MANAGER
Lkim,Lkim,Linda Kim,lkim@cs,45 Oak Ave, Santa Barbara, CA 93101,Gold,false
Djones,Djones,Derek Jones,djones@cs,88 Pine St, Goleta, CA 93117,Silver,false
Mramirez,Mramirez,Maria Ramirez,mramirez@cs,12 Maple Rd, Carpinteria, CA 93013,New,false
Tpatel,Tpatel,Tariq Patel,tpatel@ce,305 Elm Blvd, Ventura, CA 93001,New,false
Swong,Swong,Sarah Wong,swong@ce,77 Cedar Lane, Ojai, CA 93023,Green,true
Bford,Bford,Blake Ford,bford@ce,200 Spruce Ct, Oxnard, CA 93030,Green,false
Tcodd,Tcodd,Ted Codd,tcodd@db,123 Database St, Data, CA 93116,Gold,true
Pchen,Pchen,Peter Chen,pchen@db,456 Database Wy, Datum, CA 93117,Silver,false
Jgray,Jgray,Jim Gray,jgray@db,789 Database Rd, Datas, CA 93118,Green,false
Dknuth,Dknuth,Donald Knuth,dknuth@cs,101 Compsci Ln, Comp, CA 94305,Gold,false
